S_NO,S_ADDR,S_PSXT,S_DIRECTTO,S_JSGGJ,S_JSGYX,S_CSGGJ,S_CSGYX,S_SBTS,S_SBLL,S_XTBM,S_STATIONID,S_DRAI_PUMP_NAME,S_DRAI_PUMP_ADD,N_DRAI_PUMP_FLOW_FACT_Y,N_DRAI_PUMP_FLOW_FACT_W,N_DRAI_PUMP_POW_SUM_Y,N_DRAI_PUMP_POW_SUM_W,N_DISTRICT,N_DRAI_PUMP_TYPE,N_DRAI_PUMP_TYPE_FEAT,S_PUMPS_TYPE,N_PUMPS_NUM,N_PUMPS_FLOW
2018100013,华翔路,,,,,,,,,2.01006E+24,PS000336,华漕(污),沪青平公路912号,,0.8,,88,12,2,5,潜水泵,4,0.2
2018100024,老北翟路,,,,,,,,,2.01006E+24,SW63423460,纪二,北青公路700号,,0.88,,108,12,2,5,潜水泵,4,0.22
2019300003,佳木斯路沙岗路,,,,,,,,,2.01006E+24,PS000092,国顺东,包头南路818号,11.23,0.004,1128,8,10,1,1,轴流泵,4,2.8
2019300003,佳木斯路沙岗路,,,,,,,,,2.01006E+24,PS000092,国顺东,包头南路818号,11.23,0.004,1128,8,10,1,1,离心污水泵,2,0.017
2018100014,疏影路,,,,,,,,,2.01205E+24,SW63404300,南新泾泵站,位于闵松路铁路下穿沪杭铁路,0.33,,66,,12,1,3,,3,0.11
2018100002,中春路,,,,,,,,,2.01205E+24,QX058361,中春泵站,"位于中春路,呈南北走向，下穿沪杭铁路",1.48,,148,,12,1,3,,2,0.59
2018100002,中春路,,,,,,,,,2.01205E+24,QX058361,中春泵站,"位于中春路,呈南北走向，下穿沪杭铁路",1.48,,148,,12,1,3,,1,0.29
2018100002,中春路,,,,,,,,,2.01205E+24,QX058361,中春泵站,"位于中春路,呈南北走向，下穿沪杭铁路",1.48,,148,,12,1,3,,2,0.59
2018100002,中春路,,,,,,,,,2.01205E+24,QX058361,中春泵站,"位于中春路,呈南北走向，下穿沪杭铁路",1.48,,148,,12,1,3,,1,0.29
2018100017,中谊路,,,,,,,,,2.01205E+24,SW63404300,北翟路泵站,顾戴西路，呈东西走向，下穿沪杭铁路,0.66,,111,,12,1,3,,3,0.22
2018100005,顾戴路,,,,,,,,,2.01205E+24,SW63404300,北翟路泵站,顾戴西路，呈东西走向，下穿沪杭铁路,0.66,,111,,12,1,3,,3,0.22
82607254,,,,,,,,,,2.01007E+24,PS000228,莲花路泵站,"位于莲花路,呈南北走向，下穿地铁一号线及沪杭铁路",0.42,,90,,12,1,3,,2,0.21
11120001,莲花路地铁站,,,,,,,,,2.01007E+24,PS000228,莲花路泵站,"位于莲花路,呈南北走向，下穿地铁一号线及沪杭铁路",0.42,,90,,12,1,3,,2,0.21
82607511,,,,,,,,,,2.01007E+24,QX099633,广东路地道,西藏中路广东路人行地道,0.075,,11,,1,1,3,,2,0.005
82607508,,,,,,,,,,2.01007E+24,QX099633,广东路地道,西藏中路广东路人行地道,0.075,,11,,1,1,3,,2,0.005
82607530,,,,,,,,,,2.01007E+24,QX099633,广东路地道,西藏中路广东路人行地道,0.075,,11,,1,1,3,,2,0.005
82607529,,,,,,,,,,2.01007E+24,SW63425310,广东路地道,西藏中路广东路人行地道,0.075,,11,,1,1,3,,2,0.005
2017100001,金华路34号对面,,,,,,,,,2.01011E+24,QX099633,人民广场地道,人民广场地道,0.1,,15,,1,1,3,,2,0.005
82607235,,,,,,,,,,2.01006E+24,SW63424220,陆家嘴雨水,滨江公园内,16.5,,2250,,15,1,1,混流泵,5,3.36
82607235,,,,,,,,,,2.01006E+24,SW63424220,陆家嘴雨水,滨江公园内,16.5,,2250,,15,1,1,潜水泵,3,0.173
2017060025,紫云路61号,,,,,,,,,2.01006E+24,QX099627,中山西,中山西路55号,12.3,1.33,1250,135,5,3,9,潜水泵,2,0.6
2017060025,紫云路61号,,,,,,,,,2.01006E+24,QX099627,中山西,中山西路55号,12.3,1.33,1250,135,5,3,9,轴流泵,3,3.2
2017060025,紫云路61号,,,,,,,,,2.01006E+24,QX099627,中山西,中山西路55号,12.3,1.33,1250,135,5,3,9,轴流泵,1,1.5
2019300074,桐柏路花溪路,,,,,,,,,2.01006E+24,PS000114,曹杨（雨）,桂巷新村4号南,6.9,0.152,551.8,11.8,7,1,1,轴流泵,3,2.3
2019300074,桐柏路花溪路,,,,,,,,,2.01006E+24,PS000114,曹杨（雨）,桂巷新村4号南,6.9,0.152,551.8,11.8,7,1,1,离心污水泵,4,0.17
2019300074,桐柏路花溪路,,,,,,,,,2.01006E+24,PS000114,曹杨（雨）,桂巷新村4号南,6.9,0.152,551.8,11.8,7,1,1,潜水截污泵,1,0.076
2019300074,桐柏路花溪路,,,,,,,,,2.01006E+24,PS000114,曹杨（雨）,桂巷新村4号南,6.9,0.152,551.8,11.8,7,1,1,潜水截污泵,1,0.076
2017050057,华阳路长宁路,,,,,,,,,2.01006E+24,SW63425255,华阳,华阳路22号,5.25,0.759,465,104,5,3,9,潜水泵,3,1.75
2017050057,华阳路长宁路,,,,,,,,,2.01006E+24,SW63425255,华阳,华阳路22号,5.25,0.759,465,104,5,3,9,离心污水泵,2,0.283
2017050057,华阳路长宁路,,,,,,,,,2.01006E+24,SW63425255,华阳,华阳路22号,5.25,0.759,465,104,5,3,9,污水泵,1,0.193
82607540,,,,,,,,,,2.01006E+24,PS000045,新客站（雨）,恒丰路706号,6.9,0.346,614,,6,1,1,轴流泵,3,2.3
