S_NO,S_ADDR,S_PSXT,S_DIRECTTO,S_JSGGJ,S_JSGYX,S_CSGGJ,S_CSGYX,S_SBTS,S_SBLL,S_XTBM,S_STATIONID,S_DRAI_PUMP_NAME,S_DRAI_PUMP_ADD,N_DRAI_PUMP_FLOW_FACT_Y,N_DRAI_PUMP_FLOW_FACT_W,N_DRAI_PUMP_POW_SUM_Y,N_DRAI_PUMP_POW_SUM_W,N_DISTRICT,N_DRAI_PUMP_TYPE,N_DRAI_PUMP_TYPE_FEAT,S_PUMPS_TYPE,N_PUMPS_NUM,N_PUMPS_FLOW,S_STID,S_ZONE_ID
2018200010,阳泉路保德路,,,,,,,,,2010062901590012068008000,PS000287,场中(雨),阳泉路14号场中路口,9.2,0.162,764.0,66.0,6.0,1.0,1.0,轴流泵,4.0,2.3,20170320160820017,PIANQUID0000002
2017060024,子洲路58弄,,,,,,,,,2010062901592009044707000,PS000115,曹安(污),北石路645号,,1.72,,176.0,7.0,2.0,5.0,潜水离心泵,4.0,0.43,20170320160820217,PIANQUID0000002
2017100015,铜川路1422弄对面,,,,,,,,,2010062901592009044707000,PS000110,曹安(污),北石路645号,,1.72,,176.0,7.0,2.0,5.0,潜水离心泵,4.0,0.43,20170320160820217,PIANQUID0000002
2017050016,怒江北路泸定路,,,,,,,,,2010062901592009044707000,PS000115,曹安(污),北石路645号,,1.72,,176.0,7.0,2.0,5.0,潜水离心泵,4.0,0.43,20170320160820217,PIANQUID0000002
2015060044,沪宁铁路建华路地道 ,,,,,,,,,2012033010030427933407184,PS000327,沪宁铁路建华路下立交泵站,江桥镇建华村沪宁铁路建华路,0.1,,30.0,,14.0,1.0,3.0,,2.0,0.05,20190620116,PIANQUID0000002
4782608916,金园一路,,,,,,,,,2012033010132133938414184,QX098800,沪宁高速金园一路下立交泵站,江桥镇新华村沪宁高速金园一路,0.15,,45.0,,14.0,1.0,3.0,,3.0,0.05,20190620117,PIANQUID0000002
2015060004,G2星华路地道,,,,,,,,,2012033010185304534614184,SW63439034,沪宁高速星华路下立交泵站,江桥镇新华村沪宁高速星华路,0.15,,45.0,,14.0,1.0,3.0,,3.0,0.05,20190620118,PIANQUID0000002
2018200036,田林路古美路,合川,,,,,,,,2010062901585497663612000,PS000138,合川,田林路合川路,11.2,0.22,1022.0,22.0,12.0,1.0,1.0,轴流泵,4.0,2.8,20170320160820032,PIANQUID0000003
2017100020,巴林路85号门口,,,,,,,,,2010062901590667256509000,QX099643,东体,广灵二路10号,11.366,,1142.0,22.0,9.0,1.0,1.0,轴流泵,4.0,2.8,20170320160820259,PIANQUID0000002
2019300012,东体育会路甘河路,,,,,,,,,2010062901590667256509000,QX099643,东体,广灵二路10号,11.366,,1142.0,22.0,9.0,1.0,1.0,轴流泵,4.0,2.8,20170320160820259,PIANQUID0000002
2018200035,环镇南路莲花路,虹南,,,,,,,,2010091511101693451012118,QX098409,虹南,合川路2911号,7.07,,651.0,,12.0,1.0,1.0,潜水轴流泵,4.0,1.75,20170320160820143,PIANQUID0000003
2017050002,南大路近沪太路,,,,,,,,,2010062901592671206413037,PS000299,大场老街,沪太路3489号,7.84,,720.0,,13.0,1.0,1.0,潜水泵,4.0,1.96,20170320160820040,PIANQUID0000004
