S_NO,START_TIME,END_TIME,DEEP,RANK
1701120044,2020-07-02 23:52:30,2020-07-03 05:32:30,34.0,3
1701120044,2020-07-03 05:40:30,2020-07-03 05:42:30,10.0,1
82609106,2020-08-28 12:02:33,2020-08-28 12:24:33,28.0,3
82609106,2020-08-29 02:48:33,2020-08-29 02:50:33,10.0,1
2016050001,2020-08-05 00:14:32,2020-08-05 01:00:32,29.0,3
2016050001,2020-08-05 07:30:32,2020-08-05 11:22:32,50.0,4
4782608925,2020-07-06 07:40:28,2020-07-06 08:28:29,23.0,2
82609070,2020-08-05 04:50:32,2020-08-05 05:32:32,20.0,2
82609070,2020-08-05 07:06:31,2020-08-05 07:08:32,10.0,1
82609070,2020-08-05 07:12:32,2020-08-05 07:14:32,10.0,1
2016050017,2020-09-17 04:44:30,2020-09-17 06:00:30,22.0,2
2016050017,2020-09-17 06:02:30,2020-09-17 06:08:30,10.0,1
2016050029,2020-07-06 14:04:28,2020-07-06 14:14:28,10.0,1
2016050029,2020-07-06 14:16:28,2020-07-06 15:36:28,11.0,1
2016050029,2020-07-06 15:38:28,2020-07-06 16:40:28,11.0,1
2016050029,2020-07-06 16:44:28,2020-07-06 19:14:28,16.0,2
2016050029,2020-07-06 19:34:28,2020-07-06 19:36:28,15.0,2
2016050029,2020-07-07 04:22:27,2020-07-07 05:28:27,14.0,1
2016050029,2020-08-28 13:16:33,2020-08-28 13:18:33,12.0,1
2016050029,2020-08-28 13:20:34,2020-08-28 13:28:33,11.0,1
2016050029,2020-08-28 13:30:33,2020-08-28 13:42:33,12.0,1
2016050029,2020-08-28 13:44:33,2020-08-28 13:46:33,10.0,1
2016050080,2020-07-02 23:40:30,2020-07-03 00:40:30,21.0,2
2016050080,2020-08-05 03:40:32,2020-08-05 05:42:32,23.0,2
2016050080,2020-09-10 21:38:32,2020-09-10 21:40:32,11.0,1
2016050149,2020-07-28 14:04:30,2020-07-28 14:36:30,17.0,2
2016050094,2020-07-06 10:50:28,2020-07-06 11:34:28,29.0,3
