S_STATIONID,S_STATIONNAME,S_DIST,S_XIANGZHEN,RAINFALL,DURATION,FREQU
SW63439047,塘桥,浦东新区,塘桥街道,709.5,265.0,112
SW63439048,周家渡,浦东新区,北蔡镇,619.5,279.0,116
SW63439051,万亩良田,浦东新区,老港镇,444.0,231.0,93
SW63439052,三门闸,浦东新区,老港镇,487.5,252.0,104
SW63439060,赵谢圩,青浦区,赵巷镇,529.5,260.0,106
SW63439061,前明圩,青浦区,徐泾镇,557.0,251.0,98
SW63439065,重联圩,青浦区,重固镇,587.0,258.0,107
SW63439067,天心圩,<Null>,朱家角镇,515.0,262.0,113
SW63439068,葑沃圩,<Null>,朱家角镇,466.0,255.0,113
SW63439072,港南圩,<Null>,金泽镇,486.0,230.0,97
SW63439074,夏阳片圩,青浦区,夏阳街道,522.0,246.0,104
SW63439078,西北圩,青浦区,盈浦街道,529.0,260.0,97
SW63439079,天马赛车场,松江区,佘山镇,489.0,270.0,108
SW63439082,四号河闸,松江区,小昆山镇,529.0,265.0,101
SW63439085,任其浜闸,松江区,佘山镇,490.0,277.0,120
PS000157,SB泵站,浦东新区,三林镇,590.6000016927719,290.0,104
PS000174,吴闵2#,闵行区,古美街道,557.2000009864569,211.0,81
PS000176,吴闵4#,闵行区,梅陇镇,726.6999984234571,347.0,115
PS000200,新昌平,静安区,石门二路街道,805.0000047832727,300.0,110
PS000234,新肇嘉浜,徐汇区,斜土路街道,748.8999992311001,305.0,99
PS000235,交通南,普陀区,万里街道,700.9000003188848,302.0,104
PS000237,新铁力,宝山区,杨行镇,752.0000030845404,322.0,117
PS000239,新沪太,宝山区,大场镇,701.1000059843063,306.0,112
PS000245,南干线1#(南),浦东新区,上钢新村街道,440.0999998450279,190.0,61
PS000251,龙柏,闵行区,虹桥镇,588.4000009745359,313.0,103
PS000252,杨行,宝山区,杨行镇,794.4000049680471,324.0,109
PS000255,永和北,闸北区,彭浦镇,696.2000001519918,305.0,111
PS000260,浦东北路,浦东新区,高行镇,618.6000031530857,274.0,102
PS000288,凇南,宝山区,淞南镇,781.1000004708767,292.0,118
PS000300,新江湾城1#,杨浦区,新江湾城街道,677.3000026792288,329.0,116
PS000304,文庙,黄浦区,小东门街道,814.6000023335218,302.0,116
PS000314,芙蓉江,长宁区,周家桥街道,712.4000038951635,294.0,104
PS000328,岚皋南(雨),普陀区,万里街道,694.7000040411949,323.0,120
PS000329,罗秀,徐汇区,长桥街道,790.7999980002642,343.0,104
PS000330,沪东1#,浦东新区,浦兴路街道,637.8000036031008,289.0,97
PS000335,虹桥枢纽1#,闵行区,新虹街道,731.2000026553869,309.0,108
PS000337,虹桥枢纽3#,闵行区,新虹街道,875.3000016510487,322.0,113
PS000338,真江东,嘉定区,长征镇,671.3999996334314,293.0,100
PS000381,金海,浦东新区,曹路镇,481.2000025063753,233.0,84
SW60117560,共青圩,无,无,349.5,166.0,70
SW62701400,新建,崇明县,绿化镇,460.0,191.0,97
SW62701500,堡镇,崇明县,堡镇镇,684.0,248.0,103
SW62701520,长兴创建北,无,无,605.0,213.0,91
