S_NO,S_HASMONITOR,S_STATENAME,S_ADDR,S_BUILDDATE,S_PROUNIT,S_MANAGE_UNIT,S_MAINTAIN_UNIT,S_STATIONID,S_STATIONNAME,MEAN_DEEP,MAX_DEEP,FREQU,S_DIST,S_XTBM,S_PUMPS_TYPE,N_PUMPS_NUM,N_PUMPS_FLOW,S_STID,DURATION
310113BSP012,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BAP010,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BAP004,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BAP006,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BSP013,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BAP009,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BAP005,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BSP004,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BSP014,有,掉线,无,无,无,无,无,,无,,,,,,,,,,
310113BSP015,有,正常,无,无,无,无,无,,无,,,,,,,,,,
310113BAP002,有,正常,无,无,无,无,无,,无,,,,,,,,,,
11080003,有,正常,少年村路-三号桥,2012年,无,无,无,PS000255,永和北,,,,闸北区,2010062901594556298308000,潜水泵,3.0,0.27,20170320160820175,17.72
11090002,有,正常,高阳路—公平路,2012年,无,无,无,PS000058,大名,,,,虹口区,2010062901590574890209000,轴流泵,1.0,1.0,20170320160820249,8.5
11090004,有,正常,广中路口,2012年,无,无,无,QX099639,鲁迅公园,,,,虹口区,2012051704212159455309037,,3.0,0.111,20190620007,0.0
11100001,有,正常,包头-中原,2012年,无,无,无,PS000020,中原,,,,杨浦区,2010062901592261713610000,离心污水泵,2.0,0.139,20170320160820263,21.55
11070001,有,正常,兰溪路—枫桥路,2012年,无,无,无,QX099663,曹杨公园,,,,普陀区,2010062901593493686507000,离心污水泵,3.0,0.037000000000000005,20170320160820211,23.92
11070002,有,正常,绿杨路-水杉路,2012年,无,无,无,PS000327,桃浦新村,,,,普陀区,2010062901592568042207037,潜水泵,4.0,3.06,20170320160820154,23.58
11070004,有,正常,金沙江路—云岭西路,2012年,无,无,无,PS000310,苗圃西,,,,长宁区,2017032803283627727407118,,4.0,0.65,20181123102706,0.0
2017050051,有,正常,成都南路长乐路口,2017年,无,无,无,SW63425260,复兴公园,,,,黄浦区,2010062901593696850806000,潜水泵,11.0,2.045,04030330607904999,7.0
2017050052,有,正常,宁强路汉阴路,2017年,无,无,无,PS000112,石泉,,,,普陀区,2010062901593443521507000,离心污水泵,1.0,0.069,20170320160820004,0.18
2017050053,有,正常,连亮路祁安路口,2017年,无,无,无,SW63425315,桃浦工业区,,,,普陀区,2010062901592519624307037,潜水泵,4.0,2.33,20170320160820131,7.92
