S_NO,START_TIME,END_TIME,DEEP,RANK,S_STATIONID,START_RAIN,END_RAIN,DURATION,N_RAINVALUE,DEFINE,T_KBTIME,T_TBTIME,N_KBSW,N_TBSW
1701120044,2020-07-02 23:52:30,2020-07-03 05:32:30,34.0,4.0,QX098251,2020-07-02 19:00:00,2020-07-02 23:00:00,4.0,62.79999899864197,停雨积水,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,0.0
1701120044,2020-07-03 05:40:30,2020-07-03 05:42:30,10.0,4.0,QX098251,2020-07-02 19:00:00,2020-07-02 23:00:00,4.0,62.79999899864197,停雨积水,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,0.0
82609106,2020-08-28 12:02:33,2020-08-28 12:24:33,28.0,4.0,SW63423460,2020-08-28 10:00:00,2020-08-28 13:00:00,3.0,54.0,雨中积水,2020-08-28 09:49:00,2020-11-01 03:09:00,-2.14,-3.64
82609106,2020-08-29 02:48:33,2020-08-29 02:50:33,10.0,2.0,SW63423460,2020-08-28 16:00:00,2020-08-28 22:00:00,6.0,10.0,停雨积水,2020-08-28 09:49:00,2020-11-01 03:09:00,-2.14,-3.64
2016050001,2020-08-05 00:14:32,2020-08-05 01:00:32,29.0,4.0,SW63422080,2020-08-04 16:00:00,2020-08-04 23:00:00,7.0,61.5,停雨积水,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,0.0
2016050001,2020-08-05 07:30:32,2020-08-05 11:22:32,50.0,3.0,SW63422080,2020-08-05 07:00:00,2020-08-05 08:00:00,1.0,20.5,雨中积水,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,0.0
4782608925,2020-07-06 07:40:28,2020-07-06 08:28:29,23.0,1.0,QX098115,2020-07-06 07:00:00,2020-07-06 09:00:00,2.0,1.8000000268220901,雨中积水,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,0.0
82609070,2020-08-05 04:50:32,2020-08-05 05:32:32,20.0,4.0,SW63422380,2020-08-04 18:00:00,2020-08-04 23:00:00,5.0,66.0,停雨积水,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,0.0
82609070,2020-08-05 07:06:31,2020-08-05 07:08:32,10.0,1.0,SW63422380,2020-08-05 07:00:00,2020-08-05 09:00:00,2.0,4.5,雨中积水,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,0.0
82609070,2020-08-05 07:12:32,2020-08-05 07:14:32,10.0,1.0,SW63422380,2020-08-05 07:00:00,2020-08-05 09:00:00,2.0,4.5,雨中积水,1970-01-01 00:00:00,1970-01-01 00:00:00,0.0,0.0
